AL,12,87,1044,282,141,1472
AZ,32,55,1760,774,111,1954
AR,40,57,2280,388,86,1961
CA,390,45,17550,5792,101,17726
CO,23,80,1840,791,135,2484
FL,205,98,20090,2009,100,20090
GA,63,49,3087,648,119,3674
HI,8,96,768,77,159,1221
ID,100,63,6300,2520,99,6237
IL,7,55,385,193,186,716
IN,7,59,413,145,149,615
IA,35,67,2345,1337,106,2486
KS,14,80,1120,683,117,1310
KY,5,56,280,34,196,549
LA,35,98,3430,240,78,2675
ME,7,31,217,37,128,278
MI,65,67,4355,2439,114,4965
MN,135,75,10125,1924,104,10530
MS,18,65,1170,421,79,924
MO,16,41,656,151,138,905
MT,140,77,10780,3773,105,11319
NE,51,89,4539,2043,97,4403
NV,14,55,770,316,247,1902
NJ,12,27,324,45,141,457
NM,8,44,352,127,119,419
NY,64,67,4288,1887,138,5917
NC,9,40,360,72,193,695
ND,390,78,30420,9126,102,31028
OH,16,58,928,353,152,1411
OR,42,54,2268,1111,121,2744
PA,30,54,1620,810,142,2300
SD,215,105,22575,13545,100,22575
TN,6,54,324,91,173,561
TX,116,76,8816,1411,95,8375
UT,23,70,1610,531,107,1723
VT,6,68,408,192,151,616
VA,7,38,266,69,209,556
WA,56,63,3528,1376,98,3457
WV,9,55,495,183,141,698
WI,68,86,5848,2632,119,6959
WY,39,75,2925,380,107,3130
,,,,,,
 Sts 4/ 5/,18,51,923,264,243,2242
,,,,,,
US 5/,2556,71.8,183582,61222,106.9,196259
