AL,16,78,1248,187,59,736
AZ,40,59,2360,1322,73,1723
AR,55,93,5115,3529,57,2916
CA,440,70,30800,11396,59,18172
CO,29,60,1740,957,62,1079
FL,232,105,24360,2923,54,13154
GA,55,57,3135,376,63,1975
HI,7,112,784,125,82,643
ID,100,47,4700,2679,52,2444
IL,8,61,488,146,117,571
IN,8,65,520,286,103,536
IA,30,67,2010,1206,68,1367
KS,15,68,1020,520,91,928
KY,3,48,144,40,135,194
LA,43,94,4042,1334,52,2102
ME,11,21,231,143,75,173
MD,6,46,276,52,114,315
MI,72,75,5400,2970,60,3240
MN,150,90,13500,3105,57,7695
MS,17,72,1224,649,69,845
MO,23,75,1725,362,60,1035
MT,124,88,10912,4692,59,6438
NE,50,87,4350,2610,59,2567
NV,10,35,350,95,145,508
NJ,11,35,385,200,61,235
NM,15,64,960,739,72,691
NY,58,80,4640,2274,55,2552
NC,11,49,539,243,143,771
ND,300,115,34500,13800,57,19665
OH,18,65,1170,585,79,924
OK,7,35,245,64,126,309
OR,48,51,2448,1665,66,1616
PA,22,45,990,554,76,752
SD,235,121,28435,12796,58,16492
TN,9,61,549,104,143,785
TX,105,79,8295,2986,57,4728
UT,24,41,984,462,60,590
VT,7,59,413,211,68,281
VA,7,42,294,103,150,441
WA,52,54,2808,1151,58,1629
WV,7,54,378,234,122,461
WI,84,90,7560,4385,68,5141
WY,39,93,3627,798,59,2140
,,,,,,
 Sts 4/ 5/,17,40,685,270,173,1183
,,,,,,
US 5/,2620,84.1,220339,85328,59.7,132742
