AL,11,72,792,230,146,1156
AZ,30,65,1950,839,139,2711
AR,32,76,2432,730,105,2554
CA,380,52,19760,7706,98,19365
CO,36,75,2700,1458,139,3753
FL,170,81,13770,1790,101,13908
GA,63,74,4662,746,116,5408
HI,10,93,930,233,119,1107
ID,95,44,4180,2592,86,3595
IL,10,66,660,356,188,1241
IN,6,54,324,107,151,489
IA,26,84,2184,1441,115,2512
KS,14,55,770,246,140,1078
KY,5,56,280,70,220,616
LA,30,90,2700,675,89,2403
ME,11,23,253,86,200,506
MI,72,55,3960,2099,128,5069
MN,125,80,10000,3300,89,8900
MS,14,98,1372,453,105,1441
MO,15,46,690,117,149,1028
MT,132,79,10428,1981,100,10428
NE,47,73,3431,3843,104,3568
NV,9,37,333,50,355,1182
NJ,9,36,324,152,115,373
NM,7,48,336,104,96,323
NY,60,64,3840,2458,138,5299
NC,10,50,500,215,156,780
ND,350,74,25900,7770,90,23310
OH,14,56,784,282,145,1137
OR,46,48,2208,729,111,2451
PA,28,40,1120,605,161,1803
SD,225,47,10575,10575,82,8672
TN,7,55,385,58,184,708
TX,82,70,5740,976,87,4994
UT,23,50,1150,265,105,1208
VT,6,56,336,144,121,407
VA,8,42,336,114,219,736
WA,49,52,2548,1605,119,3032
WV,5,42,210,57,195,410
WI,64,93,5952,2500,114,6785
WY,39,85,3315,497,88,2917
,,,,,,
 Sts 4/ 5/,17,43,726,274,269,1951
,,,,,,
US 5/,2392,64.7,154846,60528,104.2,161314
