AL,14,73,1022,235,71,726
AZ,43,59,2537,1142,78,1979
AR,58,98,5655,1872,66,3732
CA,425,65,27625,7735,67,18509
CO,26,55,1430,529,70,1001
FL,220,100,22000,3432,62,13640
GA,55,57,3135,188,70,2195
HI,8,87,696,84,85,592
ID,100,46,4600,1610,66,3036
IL,6,76,456,251,172,784
IN,8,76,608,213,86,523
IA,33,51,1683,875,73,1229
KS,13,51,663,530,85,564
KY,3,78,234,94,131,307
LA,45,106,4770,572,60,2862
ME,11,20,220,106,70,154
MD,4,46,184,55,172,316
MI,76,60,4560,2827,78,3557
MN,135,81,10935,1859,63,6889
MS,17,66,1122,224,60,673
MO,25,61,1525,381,68,1037
MT,136,102,13872,4578,65,9017
NE,43,48,2064,1115,66,1362
NV,11,50,550,44,201,1106
NJ,11,34,374,71,82,307
NM,15,70,1050,525,65,683
NY,53,70,3710,1781,68,2523
NC,11,44,484,145,158,765
ND,280,96,26880,9408,65,17472
OH,16,81,1296,505,85,1102
OK,4,47,188,105,141,265
OR,44,44,1936,1200,69,1336
PA,17,57,969,514,87,843
SD,235,65,15275,12220,64,9776
TN,9,59,531,147,137,727
TX,97,79,7663,1533,64,4904
UT,23,38,874,315,65,568
VT,7,81,567,249,91,516
VA,9,52,468,94,117,548
WA,42,52,2184,917,67,1463
WV,7,65,455,410,155,705
WI,67,81,5427,3419,76,4125
WY,38,77,2926,468,63,1843
,,,,,,
 Sts 4/ 5/,13,40,523,173,153,799
,,,,,,
US 5/,2513,74,185926,64750,66.9,127060
