Alabama,10,40,400,84,4.85,1940
Arizona,23,45,1035,476,2.69,2784
Arkansas,20,56,1120,426,2.68,3002
California,305,38,11590,811,2.66,30829
Colorado,31,42,1302,339,3.26,4245
Florida,210,35,7350,368,3.25,23888
Georgia,103,32,3296,99,3.07,10119
Idaho,94,29,2726,627,2.66,7251
Illinois,10,47,470,141,6.19,2909
,,,,,,
Indiana,9,63,567,261,5.11,2897
Iowa,48,51,2448,710,2.81,6879
Kansas,6,62,372,167,3.65,1358
Kentucky,7,36,252,68,5.7,1436
Louisiana,42,61,2562,487,2.47,6328
Maine,10,23,230,64,6.49,1493
Michigan,82,41,3362,706,3.04,10220
Minnesota,102,51,5202,728,2.79,14514
Mississippi,21,95,1995,60,3.13,6244
Missouri,8,41,328,151,5.13,1683
,,,,,,
Montana,123,61,7503,2176,2.64,19808
Nebraska,34,44,1496,598,2.82,4219
New Jersey,16,39,624,62,4,2496
New York,54,53,2862,916,3.61,10332
North Carolina,13,39,507,198,6.79,3443
North Dakota,520,60,31200,4680,2.63,82056
Ohio,19,66,1254,464,3.48,4364
Oregon,92,37,3404,1191,3.15,10723
Pennsylvania,23,46,1058,487,5.81,6147
South Carolina,13,39,507,91,5.78,2930
,,,,,,
South Dakota,185,39,7215,2814,2.58,18615
Tennessee,9,47,423,102,5.73,2424
Texas,157,53,8321,166,3.29,27376
Utah,26,46,1196,120,3,3588
Vermont,6,47,282,121,7.04,1985
Virginia,7,38,266,45,7.77,2067
Washington,86,32,2752,660,3.11,8559
West Virginia,7,39,273,98,5.25,1433
Wisconsin,53,55,2915,816,3.04,8862
Wyoming,30,45,1350,230,2.64,3564
,,,,,,
Other States 5/ 6/,53,63,3316,501,3.67,12170
,,,,,,
United States 6/ 7/,2667,47,125331,23309,2.96,370980
