AL,13,82,1066,43,126,1343
AZ,40,72,2880,1123,138,3974
AR,40,75,3000,810,127,3810
CA,480,67,32160,6432,142,45667
CO,24,86,2064,722,138,2848
FL,210,71,14910,1491,135,20129
GA,52,65,3380,270,128,4326
HI,7,113,791,43,143,1131
ID,100,46,4600,1380,135,6210
IL,7,60,420,252,173,727
IN,5,56,280,78,159,445
IA,32,59,1888,868,145,2738
KS,16,57,912,447,158,1441
KY,5,48,240,14,164,394
LA,34,90,3060,275,124,3794
ME,8,33,264,145,140,370
MD,2,42,84,21,191,160
MI,65,74,4810,1732,147,7071
MN,120,83,9960,1892,146,14542
MS,21,69,1449,246,128,1855
MO,17,53,901,189,141,1270
MT,145,66,9570,1914,148,14164
NE,45,74,3330,1299,143,4762
NV,6,64,384,46,241,925
NJ,10,19,190,101,157,298
NM,6,41,246,108,116,285
NY,67,72,4824,1640,140,6754
NC,10,44,440,79,190,836
ND,340,87,29580,6803,136,40229
OH,15,50,750,278,143,1073
OK,3,47,141,69,183,258
OR,42,51,2142,964,126,2699
PA,27,50,1350,419,132,1782
SC,6,70,420,13,195,819
SD,200,70,14000,2520,146,20440
TN,7,40,280,53,153,428
TX,140,67,9380,1126,142,13320
UT,23,57,1311,144,130,1704
VT,7,83,581,163,192,1116
VA,6,37,222,69,169,375
WA,58,56,3248,942,152,4937
WV,8,47,376,194,201,756
WI,74,77,5698,2678,144,8205
WY,39,81,3159,474,140,4423
,,,,,,
 Sts 4/ 5/,8,44,355,166,270,958
,,,,,,
US 5/,2590,69.9,181096,40735,140.4,255791
