Alabama,8,40,320,112,5.22,1670
Arizona,26,40,1040,364,2.58,2683
Arkansas,17,50,850,255,2.12,1802
California,290,33,9570,1627,2.42,23159
Colorado,29,40,1160,232,3.01,3492
Florida,193,44,8492,849,2.58,21909
Georgia,96,34,3264,261,2.72,8878
Hawaii,20,93,1860,74,2.22,4129
Idaho,100,30,3000,270,2.32,6960
Illinois,10,46,460,115,5.49,2525
,,,,,,
Indiana,10,52,520,177,4.09,2127
Iowa,38,55,2090,502,2.45,5121
Kansas,7,42,294,144,3.07,903
Kentucky,7,37,259,73,4.92,1274
Louisiana,37,58,2146,172,2.49,5344
Maine,11,34,374,60,3.43,1283
Michigan,100,51,5100,1938,3,15300
Minnesota,125,57,7125,285,2.99,21304
Mississippi,25,71,1775,71,2.85,5059
Missouri,8,35,280,92,4.49,1257
,,,,,,
Montana,117,57,6669,1934,2.19,14605
Nebraska,38,47,1786,536,2.48,4429
New Jersey,15,35,525,158,3.44,1806
New York,57,53,3021,665,3.98,12024
North Carolina,13,39,507,96,6.69,3392
North Dakota,515,55,28325,2266,2.23,63165
Ohio,16,64,1024,389,3.64,3727
Oregon,86,31,2666,693,2.27,6052
Pennsylvania,20,42,840,336,3.86,3242
South Carolina,15,42,630,63,5.93,3736
,,,,,,
South Dakota,250,49,12250,5268,2.4,29400
Tennessee,8,56,448,81,4.84,2168
Texas,137,56,7672,384,2.32,17799
Utah,31,33,1023,92,2.36,2414
Vermont,6,47,282,65,4.02,1134
Virginia,6,40,240,79,8.17,1961
Washington,96,32,3072,1290,2.51,7711
West Virginia,6,43,258,132,5.14,1326
Wisconsin,42,47,1974,750,3.09,6100
Wyoming,38,58,2204,242,2.09,4606
,,,,,,
Other States 5/ 6/,28,48,1349,340,5.37,7244
,,,,,,
United States 6/ 7/,2697,47,126744,23532,2.65,335872
