AL,9,66,594,214,190,1129
AZ,25,64,1600,336,126,2016
AR,28,75,2100,525,135,2835
CA,360,51,18360,4039,139,25520
CO,27,45,1215,656,151,1835
FL,150,79,11850,1304,132,15642
GA,65,71,4615,369,152,7015
HI,10,90,900,225,159,1431
ID,90,40,3600,1440,146,5256
IL,8,56,448,116,259,1160
IN,7,67,469,150,168,788
IA,24,62,1488,580,158,2351
KS,10,61,610,128,155,946
KY,4,39,156,27,244,381
LA,40,77,3080,493,136,4189
ME,7,42,294,79,157,462
MI,71,73,5183,2021,144,7464
MN,122,78,9516,2569,139,13227
MS,14,98,1372,110,130,1784
MO,11,53,583,152,168,979
MT,134,70,9380,4596,137,12851
NE,36,67,2412,1254,145,3497
NV,10,29,290,52,142,412
NJ,9,40,360,122,162,583
NM,6,48,288,95,148,426
NY,50,70,3500,1260,165,5775
NC,12,52,624,137,218,1360
ND,400,90,36000,8640,136,48960
OH,14,53,742,371,168,1247
OR,50,43,2150,1097,141,3032
PA,23,48,1104,276,165,1822
SD,225,95,21375,11970,134,28643
TN,7,61,427,149,209,892
TX,77,64,4928,1380,134,6604
UT,28,48,1344,242,157,2110
VT,5,66,330,119,220,726
VA,6,42,252,45,242,610
WA,49,44,2156,862,151,3256
WV,6,43,258,49,216,557
WI,58,80,4640,2366,150,6960
WY,39,61,2379,381,137,3259
,,,,,,
 Sts 7/ 8/,16,51,817,163,234,1912
,,,,,,
US 8/ 9/,2342,69.9,163789,51159,142.1,232744
